open,high,low,close,volume,rsi_7,cci_7,sma_100,ema_100,macd,bollinger,atr_7,next_day_close,Date,target
314,315,313,315,7860650,100,-66,314,314,0,314,4,281,20150102,0
314,315,281,281,33054400,1,-100,303,303,-1,303,15,264,20150103,0
281,287,257,264,55629100,1,-110,293,293,-2,293,20,274,20150104,1
265,278,265,274,43962800,21,-76,289,289,-2,289,18,286,20150105,1
274,287,272,286,23245700,38,-37,289,288,-1,289,17,294,20150106,1
286,298,283,294,24866800,47,2,289,289,-1,289,17,283,20150107,0
294,294,282,283,19982500,38,-3,289,288,-1,289,16,290,20150108,1
282,291,280,290,18718600,46,37,289,288,0,289,15,274,20150109,0
287,288,273,274,15264300,34,-24,287,287,-1,287,15,265,20150110,0
274,279,265,265,18200800,29,-117,285,285,-2,285,15,267,20150111,1
266,272,265,267,18880300,32,-116,284,283,-2,284,13,225,20150112,0
267,268,219,225,72843904,17,-181,279,278,-5,279,19,178,20150113,0
223,223,171,178,97638704,10,-176,272,270,-10,272,25,209,20150114,1
176,229,176,209,81773504,31,-90,268,265,-11,268,29,208,20150115,0
209,221,199,208,38421000,30,-60,264,261,-12,264,28,199,20150116,0
207,211,194,199,23469700,28,-58,260,257,-13,260,26,210,20150117,1
200,218,194,210,30085100,35,-31,257,254,-14,257,26,214,20150118,1
211,216,207,214,18658300,38,24,255,251,-13,255,23,211,20150119,0
212,215,205,211,24051100,37,61,253,249,-13,253,21,226,20150120,1
211,227,211,226,29924600,48,181,252,248,-12,249,20,233,20150121,1
227,237,226,233,33544600,52,162,251,247,-10,245,19,232,20150122,0
233,234,225,232,24621700,51,95,250,246,-9,242,17,247,20150123,1
232,248,230,247,24782500,61,121,250,246,-6,241,17,253,20150124,1
247,255,243,253,33582700,64,125,250,246,-4,240,16,273,20150125,1
254,309,254,273,106794000,72,166,251,248,-1,240,22,263,20150126,0
273,275,250,263,44399000,63,72,251,248,0,238,22,233,20150127,0
263,266,227,233,44352200,44,-30,251,248,0,236,25,233,20150128,0
233,238,220,233,32213400,44,-86,250,247,-1,233,24,226,20150129,0
232,242,225,226,26605200,40,-83,249,246,-2,230,23,217,20150130,0
226,233,216,217,23348200,35,-98,248,245,-3,228,22,226,20150131,1
216,231,212,226,29128500,43,-72,248,244,-3,226,21,238,20150201,1
